N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	[{"Label": "Prince Philip, Duke of Edinburgh", "Type": "P", "WikidataId": "Q80976", "Confidence": 1.0, "OccurrenceOffsets": [48], "SurfaceForms": ["Prince Philip"]}, {"Label": "Charles, Prince of Wales", "Type": "P", "WikidataId": "Q43274", "Confidence": 1.0, "OccurrenceOffsets": [28], "SurfaceForms": ["Prince Charles"]}, {"Label": "Elizabeth II", "Type": "P", "WikidataId": "Q9682", "Confidence": 0.97, "OccurrenceOffsets": [11], "SurfaceForms": ["Queen Elizabeth"]}]	[]
N7368	sports	football_nfl	Vince Young to Marcus Mariota: 'When you get the starting position back don't give it back!!'	Former Titans quarterback Vince Young sent an encouraging message to Marcus Mariota on Twitter Wednesday.	https://assets.msn.com/labs/mind/AAISy4W.html	[{"Label": "Marcus Mariota", "Type": "P", "WikidataId": "Q6758302", "Confidence": 1.0, "OccurrenceOffsets": [15], "SurfaceForms": ["Marcus Mariota"]}, {"Label": "Vince Young", "Type": "P", "WikidataId": "Q1339239", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Vince Young"]}]	[{"Label": "Marcus Mariota", "Type": "P", "WikidataId": "Q6758302", "Confidence": 1.0, "OccurrenceOffsets": [69], "SurfaceForms": ["Marcus Mariota"]}, {"Label": "Vince Young", "Type": "P", "WikidataId": "Q1339239", "Confidence": 1.0, "OccurrenceOffsets": [26], "SurfaceForms": ["Vince Young"]}, {"Label": "Tennessee Titans", "Type": "O", "WikidataId": "Q320484", "Confidence": 0.987, "OccurrenceOffsets": [7], "SurfaceForms": ["Titans"]}, {"Label": "Twitter", "Type": "O", "WikidataId": "Q918", "Confidence": 1.0, "OccurrenceOffsets": [87], "SurfaceForms": ["Twitter"]}]
N54624	weather	weathertopstories	Kincade Fire: Latest on the Sonoma County Wildfires	Residents of the Northern California county were forced to evacuate as the rapidly burning Kincade Fire fanned southwards	https://assets.msn.com/labs/mind/AAJgSOF.html	[{"Label": "Sonoma County, California", "Type": "G", "WikidataId": "Q108067", "Confidence": 1.0, "OccurrenceOffsets": [28], "SurfaceForms": ["Sonoma County"]}]	[{"Label": "Northern California", "Type": "G", "WikidataId": "Q1066807", "Confidence": 0.934, "OccurrenceOffsets": [17], "SurfaceForms": ["Northern California"]}]
N62418	autos	autosnews	The best free PC optimization software 2019: speed up your PC quickly and easily	Free PC optimization software for noticeably faster performance without a hardware upgrade.	https://assets.msn.com/labs/mind/AAE20XI.html	[]	[{"Label": "EMachines", "Type": "O", "WikidataId": "Q930816", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Free PC"]}]
N29621	autos	autosenthusiasts	Ferrari F8 Spider Looks Right At Home At High-End London Dealer	The latest Ferrari becomes a London Celebrity.	https://assets.msn.com/labs/mind/AAJ4n0J.html	[{"Label": "London", "Type": "G", "WikidataId": "Q84", "Confidence": 0.988, "OccurrenceOffsets": [50], "SurfaceForms": ["London"]}]	[{"Label": "Scuderia Ferrari", "Type": "O", "WikidataId": "Q169898", "Confidence": 0.933, "OccurrenceOffsets": [11], "SurfaceForms": ["Ferrari"]}]
N61483	lifestyle	lifestyleparenting	12 Photos Show What It's Really Like To Grow Up Trans		https://assets.msn.com/labs/mind/AAF6W1e.html	[]	[]
N4295	foodanddrink	tipsandtricks	17 Secret Waiter Tricks That Diners Never Notice	You won't believe some of these sneaky secret waiter tricks!	https://assets.msn.com/labs/mind/AAGegWs.html	[{"Label": "Diners Club International", "Type": "O", "WikidataId": "Q877332", "Confidence": 0.933, "OccurrenceOffsets": [29], "SurfaceForms": ["Diners"]}]	[]
N20148	sports	soccer	No goals, no fans, no TV: Koreas draw 0-0 in blacked-out World Cup qualifier	North and South Korea drew 0-0 in a historic but surreal World Cup qualifier on Tuesday, played in front of FIFA president Gianni Infantino but an otherwise empty stadium and almost completely blocked off from the outside world.	https://assets.msn.com/labs/mind/AAINu1W.html	[{"Label": "Korea", "Type": "G", "WikidataId": "Q18097", "Confidence": 1.0, "OccurrenceOffsets": [26], "SurfaceForms": ["Koreas"]}, {"Label": "FIFA World Cup", "Type": "E", "WikidataId": "Q19317", "Confidence": 0.911, "OccurrenceOffsets": [57], "SurfaceForms": ["World Cup"]}]	[{"Label": "Gianni Infantino", "Type": "P", "WikidataId": "Q124138", "Confidence": 1.0, "OccurrenceOffsets": [123], "SurfaceForms": ["Gianni Infantino"]}, {"Label": "FIFA", "Type": "O", "WikidataId": "Q253414", "Confidence": 0.928, "OccurrenceOffsets": [108], "SurfaceForms": ["FIFA"]}, {"Label": "Korea", "Type": "G", "WikidataId": "Q18097", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["North and South Korea"]}, {"Label": "FIFA World Cup", "Type": "E", "WikidataId": "Q19317", "Confidence": 0.911, "OccurrenceOffsets": [57], "SurfaceForms": ["World Cup"]}]
N64278	sports	basketball_ncaa	Should Kentucky basketball be worried about EJ Montgomery's preseason play?	With Nick Richards battling a sprained ankle, the pressure is on EJ Montgomery take a step forward from a middling preseason performance.	https://assets.msn.com/labs/mind/AAJJc1Y.html	[{"Label": "E. J. Montgomery", "Type": "N", "WikidataId": "Q60048843", "Confidence": 0.973, "OccurrenceOffsets": [44], "SurfaceForms": ["EJ Montgomery"]}, {"Label": "Kentucky Wildcats men's basketball", "Type": "O", "WikidataId": "Q6392428", "Confidence": 1.0, "OccurrenceOffsets": [7], "SurfaceForms": ["Kentucky basketball"]}]	[{"Label": "Nick Richards (basketball)", "Type": "P", "WikidataId": "Q39070726", "Confidence": 0.997, "OccurrenceOffsets": [5], "SurfaceForms": ["Nick Richards"]}, {"Label": "E. J. Montgomery", "Type": "N", "WikidataId": "Q60048843", "Confidence": 0.973, "OccurrenceOffsets": [65], "SurfaceForms": ["EJ Montgomery"]}]
N43092	health	health-news	46-Year-Old Woman Gives Birth a Day After Finding Out She's Pregnant	Monica Thompson had been trying to conceive for 16 years.	https://assets.msn.com/labs/mind/AAHbXRv.html	[{"Label": "Childbirth", "Type": "C", "WikidataId": "Q34581", "Confidence": 0.998, "OccurrenceOffsets": [24], "SurfaceForms": ["Birth"]}, {"Label": "The Day After", "Type": "N", "WikidataId": "Q738462", "Confidence": 0.928, "OccurrenceOffsets": [32], "SurfaceForms": ["Day After"]}, {"Label": "Pregnancy", "Type": "C", "WikidataId": "Q11995", "Confidence": 1.0, "OccurrenceOffsets": [60], "SurfaceForms": ["Pregnant"]}, {"Label": "Finding Out", "Type": "M", "WikidataId": "Q5449967", "Confidence": 1.0, "OccurrenceOffsets": [42], "SurfaceForms": ["Finding Out"]}]	[]
N7180	news	newscrime	Police investigating deadly shooting on West Side	One person has died after an early morning shooting on the West Side. Police responded to the 1600 block of northwest 19th Street just before 8 a.m. Tuesday for a man shot after trying to pick up his stepson from a residence. FIND OUT FIRST: Get San Antonio breaking news directly to your inbox San Antonio Police Chief William McManus said a 51-year-old man arrived at the residence to get his stepson, who is dating the daughter of the couple who...	https://assets.msn.com/labs/mind/AAJaCFm.html	[]	[]
N58210	sports	football_nfl	The question after Sunday's 27-17 loss: When will the win come for the Cincinnati Bengals?	Bengals quarterback Andy Dalton intercepted on three straight drives in the fourth quarter to seal the loss.	https://assets.msn.com/labs/mind/AAJ4OEj.html	[{"Label": "Cincinnati Bengals", "Type": "O", "WikidataId": "Q223511", "Confidence": 1.0, "OccurrenceOffsets": [71], "SurfaceForms": ["Cincinnati Bengals"]}]	[{"Label": "Cincinnati Bengals", "Type": "O", "WikidataId": "Q223511", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Bengals"]}, {"Label": "Andy Dalton", "Type": "P", "WikidataId": "Q129605", "Confidence": 1.0, "OccurrenceOffsets": [20], "SurfaceForms": ["Andy Dalton"]}]
N20588	lifestyle	lifestylehoroscope	Your Most Toxic Personality Trait, Based on Your Myers Briggs Type	Here's how to know which aspects of your behavior might err on the side of toxic, based on your Myers-Briggs personality type.	https://assets.msn.com/labs/mind/AAGKcly.html	[]	[{"Label": "Myers\u2013Briggs Type Indicator", "Type": "U", "WikidataId": "Q897939", "Confidence": 1.0, "OccurrenceOffsets": [96], "SurfaceForms": ["Myers-Briggs"]}]
N59137	sports	football_nfl	Panthers' Mario Addison to miss game while mourning brother's death		https://assets.msn.com/labs/mind/AAJKIho.html	[{"Label": "Mario Addison", "Type": "P", "WikidataId": "Q6764512", "Confidence": 1.0, "OccurrenceOffsets": [10], "SurfaceForms": ["Mario Addison"]}, {"Label": "Carolina Panthers", "Type": "O", "WikidataId": "Q330120", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Panthers"]}]	[]
N41212	video	viral	Diver defends himself from attack by great white shark	Joe Petrovich was spearfishing with friends off Perth in Australia when they swam into the path of a great white shark. The encounter lasted about 9 minutes during which Joe was forced to defend himself from an attack by the shark.	https://assets.msn.com/labs/mind/AAIzsvA.html	[]	[{"Label": "Perth", "Type": "G", "WikidataId": "Q3183", "Confidence": 0.999, "OccurrenceOffsets": [48], "SurfaceForms": ["Perth"]}, {"Label": "Australia", "Type": "G", "WikidataId": "Q408", "Confidence": 0.985, "OccurrenceOffsets": [57], "SurfaceForms": ["Australia"]}]
N40642	foodanddrink	tipsandtricks	Pasta Water: Here's Why Rachael Swears By This Ingredient	Pasta water is a key component of all of Rach's sauces   and here's why.	https://assets.msn.com/labs/mind/AAGlsdn.html	[]	[]
N58730	foodanddrink	restaurantsandnews	Some of the Best Tacos in Texas Hill Country Are on a Sleepy Road Outside San Antonio	Nora's Tacos is worth the drive to Sabinal (population: 1,696).	https://assets.msn.com/labs/mind/AAIp5hk.html	[{"Label": "Texas Hill Country", "Type": "U", "WikidataId": "Q2576201", "Confidence": 1.0, "OccurrenceOffsets": [26], "SurfaceForms": ["Texas Hill Country"]}, {"Label": "San Antonio", "Type": "G", "WikidataId": "Q975", "Confidence": 0.996, "OccurrenceOffsets": [74], "SurfaceForms": ["San Antonio"]}]	[{"Label": "Sabinal, Texas", "Type": "G", "WikidataId": "Q977988", "Confidence": 0.996, "OccurrenceOffsets": [35], "SurfaceForms": ["Sabinal"]}]
N64130	sports	outdoors	ON THE GUN: Browning X-Bolt Max Long Range	Browning's new X-Bolt Max Long Range checks all the boxes for an affordable, long-range hunting rig: it's super accurate, runs flawlessly, it's heavy but still handy, and it costs just a little more than $1,000.	https://assets.msn.com/labs/mind/AACuGOg.html	[]	[{"Label": "Browning X-Bolt", "Type": "B", "WikidataId": "Q16238277", "Confidence": 1.0, "OccurrenceOffsets": [15], "SurfaceForms": ["X-Bolt"]}]
N21526	travel	traveltripideas	6 hotels with incredible design from above   and how to get your own personal bird's-eye view	Jaws drop as Soneva Jani comes into view from the windows of the resort's private seaplane.	https://assets.msn.com/labs/mind/AAJKIlf.html	[]	[{"Label": "Soneva", "Type": "O", "WikidataId": "Q28403248", "Confidence": 1.0, "OccurrenceOffsets": [13], "SurfaceForms": ["Soneva Jani"]}]
N54783	autos	autosnews	Semi truck driver swerves to miss deer, crashed on I-40	Early Thursday morning on October 10, a semi truck driver said he crashed into the median of Interstate 40 at Lee Creek because of a deer. Arkansas State Police were called to the scene before 4:00 a.m. near Lee Creek on I-40. The driver told the trooper he swerved to miss a deer and went into the median. At the scene our cameras found the truck's front end in the tree line while the main cab and trailer were down a few meters along the...	https://assets.msn.com/labs/mind/AAIztb8.html	[{"Label": "Interstate 40", "Type": "S", "WikidataId": "Q94209", "Confidence": 1.0, "OccurrenceOffsets": [51], "SurfaceForms": ["I-40"]}]	[{"Label": "Interstate 40", "Type": "S", "WikidataId": "Q94209", "Confidence": 1.0, "OccurrenceOffsets": [93, 221], "SurfaceForms": ["Interstate 40", "I-40"]}, {"Label": "Arkansas State Police", "Type": "O", "WikidataId": "Q2861562", "Confidence": 1.0, "OccurrenceOffsets": [139], "SurfaceForms": ["Arkansas State Police"]}, {"Label": "Lee Creek (Arkansas)", "Type": "L", "WikidataId": "Q16248013", "Confidence": 0.996, "OccurrenceOffsets": [110, 208], "SurfaceForms": ["Lee Creek", "Lee Creek"]}]
N36390	sports	football_ncaa	UH redshirt tracker: Who's sitting so far, others on way	By now, Houston coach Dana Holgorsen has a good idea which players will redshirt this season. Some of that could change over the final four games, depending on injuries, but for the most part the picture has become clear which players will redshirt this season. A few like D'Eriq King, Keith Corbin and Mulbah Car, all seniors, were not expected when the season began (although Holgorsen did warn that everything was "on the table"). Some like...	https://assets.msn.com/labs/mind/AAJwqBa.html	[]	[{"Label": "Dana Holgorsen", "Type": "P", "WikidataId": "Q5214745", "Confidence": 1.0, "OccurrenceOffsets": [22, 378], "SurfaceForms": ["Dana Holgorsen", "Holgorsen"]}, {"Label": "D'Eriq King", "Type": "N", "WikidataId": "Q58495235", "Confidence": 1.0, "OccurrenceOffsets": [273], "SurfaceForms": ["D'Eriq King"]}]
N44573	news	newsscienceandtechnology	Dayton airport doubles number of charter passengers since 2015	The Dayton International Airport, while seeing fewer passengers on commercial flights over the last decade, has seen a jump in passengers taking charter flights.	https://assets.msn.com/labs/mind/AAJ46a5.html	[{"Label": "Dayton International Airport", "Type": "F", "WikidataId": "Q1135486", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Dayton airport"]}]	[{"Label": "Dayton International Airport", "Type": "F", "WikidataId": "Q1135486", "Confidence": 1.0, "OccurrenceOffsets": [4], "SurfaceForms": ["Dayton International Airport"]}]
N13693	news	newspolitics	Top Defense Republican: Trump's Vivid Statement On Baghdadi 'A Little Uncomfortable'	Rep. Mac Thornberry (R-Texas) expressed unease with President Donald Trump's graphic description of a U.S. military raid that resulted in the death of so-called Islamic State leader Abu Bakr al-Baghdadi, who Trump said was "whimpering and crying and screaming" before detonating a suicide vest that killed himself and three of his children Saturday. Thornberry, the ranking member of the House Armed Services Committee, suggested on Sunday that he...	https://assets.msn.com/labs/mind/AAJrGcx.html	[{"Label": "Abu Bakr al-Baghdadi", "Type": "P", "WikidataId": "Q2821724", "Confidence": 0.993, "OccurrenceOffsets": [51], "SurfaceForms": ["Baghdadi"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.997, "OccurrenceOffsets": [24], "SurfaceForms": ["Trump"]}]	[{"Label": "Abu Bakr al-Baghdadi", "Type": "P", "WikidataId": "Q2821724", "Confidence": 0.993, "OccurrenceOffsets": [182], "SurfaceForms": ["Abu Bakr al-Baghdadi"]}, {"Label": "Mac Thornberry", "Type": "P", "WikidataId": "Q539444", "Confidence": 1.0, "OccurrenceOffsets": [5, 350], "SurfaceForms": ["Mac Thornberry", "Thornberry"]}, {"Label": "Islamic State of Iraq and the Levant", "Type": "U", "WikidataId": "Q2429253", "Confidence": 1.0, "OccurrenceOffsets": [161], "SurfaceForms": ["Islamic State"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.997, "OccurrenceOffsets": [52, 208], "SurfaceForms": ["President Donald Trump", "Trump"]}, {"Label": "United States House Committee on Armed Services", "Type": "U", "WikidataId": "Q1508630", "Confidence": 1.0, "OccurrenceOffsets": [388], "SurfaceForms": ["House Armed Services Committee"]}, {"Label": "United States Armed Forces", "Type": "O", "WikidataId": "Q11211", "Confidence": 0.992, "OccurrenceOffsets": [102], "SurfaceForms": ["U.S. military"]}]
N10398	health	health-news	Even 2 Minutes of Exercise a Week May Lessen Risk of Dementia	According to the Department of Health and Human Services, most healthy adults should get at least 150 minutes of moderate aerobic exercise or 75 minutes of vigorous aerobic exercise a week.	https://assets.msn.com/labs/mind/AAHfvfF.html	[]	[{"Label": "United States Department of Health and Human Services", "Type": "O", "WikidataId": "Q942326", "Confidence": 0.975, "OccurrenceOffsets": [17], "SurfaceForms": ["Department of Health and Human Services"]}]
N25127	lifestyle	lifestylehoroscope	The One-Word Mantra You Need This Thanksgiving, Based on Your Zodiac Sign	Tensions can run high when families come together round the table. Here the mantra you need to help you make it to pumpkin pie.	https://assets.msn.com/labs/mind/AAJWEyL.html	[{"Label": "Astrological sign", "Type": "C", "WikidataId": "Q1795024", "Confidence": 1.0, "OccurrenceOffsets": [62], "SurfaceForms": ["Zodiac Sign"]}]	[]
N13712	health	weightloss	Weight-Loss Tips That Work From a Viewer Who Lost 250 Pounds	Annamarie is now down to a size 6. And she's sharing her top three tips for weight loss.	https://assets.msn.com/labs/mind/AAGlsdv.html	[]	[]
N52293	tv	tv-gallery	14 action-packed shows that deserve a spot on your must-watch list	Action-packed TV shows that deserve a spot on your must-watch list	https://assets.msn.com/labs/mind/AAIp5kX.html	[]	[]
N43677	music	music-celebrity	Cody Simpson gushes over Miley Cyrus: 'We are very, very happy'	Cody Simpson confirms that he and Miley are together while praising her.	https://assets.msn.com/labs/mind/AAIGw2i.html	[{"Label": "Miley Cyrus", "Type": "P", "WikidataId": "Q4235", "Confidence": 1.0, "OccurrenceOffsets": [25], "SurfaceForms": ["Miley Cyrus"]}]	[{"Label": "Miley Cyrus", "Type": "P", "WikidataId": "Q4235", "Confidence": 1.0, "OccurrenceOffsets": [34], "SurfaceForms": ["Miley"]}]
N43465	travel	travelarticle	New River Rock Bar & Grille now hiring, gearing up to open along Great Miami	A new and locally owned restaurant and bar called the River Rock Bar & Grille is in the works overlooking the Great Miami River in Piqua.	https://assets.msn.com/labs/mind/AAJwgyW.html	[{"Label": "Great Miami River", "Type": "L", "WikidataId": "Q246570", "Confidence": 1.0, "OccurrenceOffsets": [65], "SurfaceForms": ["Great Miami"]}, {"Label": "Reef", "Type": "C", "WikidataId": "Q184358", "Confidence": 1.0, "OccurrenceOffsets": [10], "SurfaceForms": ["Rock Bar"]}]	[{"Label": "Great Miami River", "Type": "L", "WikidataId": "Q246570", "Confidence": 1.0, "OccurrenceOffsets": [110], "SurfaceForms": ["Great Miami River"]}, {"Label": "Piqua, Ohio", "Type": "G", "WikidataId": "Q998596", "Confidence": 1.0, "OccurrenceOffsets": [131], "SurfaceForms": ["Piqua"]}]
N30194	travel	travelnews	Newark Airport's New Terminal Project Passes Major Milestone	NEWARK, N.J. (WCBS 880/AP) -- A multibillion project to replace one of Newark Liberty International Airport's three terminals passed a major milestone on Wednesday. As WBCS 880's Peter Haskell reports, steelworkers raised the final steel beam for the exterior of the airport's Terminal A - renamed Terminal 1 - as New Jersey Gov. Phil Murphy and other officials watched. ...listen to the audio... Port Authority Chairman Kevin O'Toole says the new 1...	https://assets.msn.com/labs/mind/AAJfUgZ.html	[{"Label": "Newark Liberty International Airport", "Type": "F", "WikidataId": "Q466786", "Confidence": 0.993, "OccurrenceOffsets": [0], "SurfaceForms": ["Newark Airport"]}]	[{"Label": "AirTrain Newark", "Type": "F", "WikidataId": "Q542145", "Confidence": 0.958, "OccurrenceOffsets": [277], "SurfaceForms": ["Terminal A"]}, {"Label": "Newark Liberty International Airport", "Type": "F", "WikidataId": "Q466786", "Confidence": 0.993, "OccurrenceOffsets": [0, 71], "SurfaceForms": ["NEWARK", "Newark Liberty International Airport"]}, {"Label": "WCBS (AM)", "Type": "M", "WikidataId": "Q1450606", "Confidence": 1.0, "OccurrenceOffsets": [14], "SurfaceForms": ["WCBS 880"]}, {"Label": "New Jersey", "Type": "G", "WikidataId": "Q1408", "Confidence": 1.0, "OccurrenceOffsets": [8, 314], "SurfaceForms": ["N.J.", "New Jersey"]}, {"Label": "Governor of New Jersey", "Type": "K", "WikidataId": "Q3112728", "Confidence": 1.0, "OccurrenceOffsets": [325], "SurfaceForms": ["Gov."]}, {"Label": "Phil Murphy", "Type": "P", "WikidataId": "Q260042", "Confidence": 1.0, "OccurrenceOffsets": [330], "SurfaceForms": ["Phil Murphy"]}, {"Label": "Associated Press", "Type": "O", "WikidataId": "Q40469", "Confidence": 0.987, "OccurrenceOffsets": [23], "SurfaceForms": ["AP"]}]
